Day 1 (Open),Day 2 (Open),Day 3 (Open),Day 4 (Open),Day 5 (Open),Day 1 (High),Day 2 (High),Day 3 (High),Day 4 (High),Day 5 (High),Day 1 (Low),Day 2 (Low),Day 3 (Low),Day 4 (Low),Day 5 (Low),Day 1 (Close),Day 2 (Close),Day 3 (Close),Day 4 (Close),Day 5 (Close),Day 1 (Volume),Day 2 (Volume),Day 3 (Volume),Day 4 (Volume),Day 5 (Volume),Day 6 (Open),Day 6 (High),Day 6 (Low),Day 6 (Volume),Day 6 (Close)
255.149994,262.410004,263.359985,257.98999,255,262.459991,264.700012,265.600006,261.429993,256.019989,252.419998,259.5,262.320007,255.270004,244.710007,260.73999,261.380005,263.820007,259.320007,250.029999,8300100,5177700,3692600,6810900,8214100,245.220001,253.800003,245,250.410004,5658700
262.410004,263.359985,257.98999,255,245.220001,264.700012,265.600006,261.429993,256.019989,253.800003,259.5,262.320007,255.270004,244.710007,245,261.380005,263.820007,259.320007,250.029999,250.410004,5177700,3692600,6810900,8214100,5658700,251.119995,252.839996,247.039993,252.139999,3749500
263.359985,257.98999,255,245.220001,251.119995,265.600006,261.429993,256.019989,253.800003,252.839996,262.320007,255.270004,244.710007,245,247.039993,263.820007,259.320007,250.029999,250.410004,252.139999,3692600,6810900,8214100,5658700,3749500,252.520004,254.960007,246.100006,246.949997,4834200
257.98999,255,245.220001,251.119995,252.520004,261.429993,256.019989,253.800003,252.839996,254.960007,255.270004,244.710007,245,247.039993,246.100006,259.320007,250.029999,250.410004,252.139999,246.949997,6810900,8214100,5658700,3749500,4834200,248.25,249.729996,246.070007,246.600006,3795400
255,245.220001,251.119995,252.520004,248.25,256.019989,253.800003,252.839996,254.960007,249.729996,244.710007,245,247.039993,246.100006,246.070007,250.029999,250.410004,252.139999,246.949997,246.600006,8214100,5658700,3749500,4834200,3795400,244,248.639999,241.380005,245.259995,4852700
245.220001,251.119995,252.520004,248.25,244,253.800003,252.839996,254.960007,249.729996,248.639999,245,247.039993,246.100006,246.070007,241.380005,250.410004,252.139999,246.949997,246.600006,245.259995,5658700,3749500,4834200,3795400,4852700,246.919998,247.649994,240.119995,242.679993,4238300
251.119995,252.520004,248.25,244,246.919998,252.839996,254.960007,249.729996,248.639999,247.649994,247.039993,246.100006,246.070007,241.380005,240.119995,252.139999,246.949997,246.600006,245.259995,242.679993,3749500,4834200,3795400,4852700,4238300,242.199997,242.660004,235.649994,240.240005,5941700
252.520004,248.25,244,246.919998,242.199997,254.960007,249.729996,248.639999,247.649994,242.660004,246.100006,246.070007,241.380005,240.119995,235.649994,246.949997,246.600006,245.259995,242.679993,240.240005,4834200,3795400,4852700,4238300,5941700,250.199997,252.789993,245.360001,251.419998,8998200
248.25,244,246.919998,242.199997,250.199997,249.729996,248.639999,247.649994,242.660004,252.789993,246.070007,241.380005,240.119995,235.649994,245.360001,246.600006,245.259995,242.679993,240.240005,251.419998,3795400,4852700,4238300,5941700,8998200,253.059998,256.5,251.029999,255.210007,5406300
244,246.919998,242.199997,250.199997,253.059998,248.639999,247.649994,242.660004,252.789993,256.5,241.380005,240.119995,235.649994,245.360001,251.029999,245.259995,242.679993,240.240005,251.419998,255.210007,4852700,4238300,5941700,8998200,5406300,259.130005,262.48999,257.799988,260.619995,7713300
246.919998,242.199997,250.199997,253.059998,259.130005,247.649994,242.660004,252.789993,256.5,262.48999,240.119995,235.649994,245.360001,251.029999,257.799988,242.679993,240.240005,251.419998,255.210007,260.619995,4238300,5941700,8998200,5406300,7713300,258.529999,261.459991,255.729996,259.570007,4485500
242.199997,250.199997,253.059998,259.130005,258.529999,242.660004,252.789993,256.5,262.48999,261.459991,235.649994,245.360001,251.029999,257.799988,255.729996,240.240005,251.419998,255.210007,260.619995,259.570007,5941700,8998200,5406300,7713300,4485500,260.100006,262.880005,252.639999,259.279999,5055100
250.199997,253.059998,259.130005,258.529999,260.100006,252.789993,256.5,262.48999,261.459991,262.880005,245.360001,251.029999,257.799988,255.729996,252.639999,251.419998,255.210007,260.619995,259.570007,259.279999,8998200,5406300,7713300,4485500,5055100,262.25,265.540009,254.399994,257.01001,7361300
253.059998,259.130005,258.529999,260.100006,262.25,256.5,262.48999,261.459991,262.880005,265.540009,251.029999,257.799988,255.729996,252.639999,254.399994,255.210007,260.619995,259.570007,259.279999,257.01001,5406300,7713300,4485500,5055100,7361300,244.639999,245.889999,235.199997,236.910004,12888300
259.130005,258.529999,260.100006,262.25,244.639999,262.48999,261.459991,262.880005,265.540009,245.889999,257.799988,255.729996,252.639999,254.399994,235.199997,260.619995,259.570007,259.279999,257.01001,236.910004,7713300,4485500,5055100,7361300,12888300,238.570007,238.960007,221,224.589996,11268700
258.529999,260.100006,262.25,244.639999,238.570007,261.459991,262.880005,265.540009,245.889999,238.960007,255.729996,252.639999,254.399994,235.199997,221,259.570007,259.279999,257.01001,236.910004,224.589996,4485500,5055100,7361300,12888300,11268700,228.25,232.470001,223,227.059998,7105300
260.100006,262.25,244.639999,238.570007,228.25,262.880005,265.540009,245.889999,238.960007,232.470001,252.639999,254.399994,235.199997,221,223,259.279999,257.01001,236.910004,224.589996,227.059998,5055100,7361300,12888300,11268700,7105300,220,230.990005,217.320007,229.699997,9147300
262.25,244.639999,238.570007,228.25,220,265.540009,245.889999,238.960007,232.470001,230.990005,254.399994,235.199997,221,223,217.320007,257.01001,236.910004,224.589996,227.059998,229.699997,7361300,12888300,11268700,7105300,9147300,219.720001,229.919998,219.100006,226.350006,5399300
244.639999,238.570007,228.25,220,219.720001,245.889999,238.960007,232.470001,230.990005,229.919998,235.199997,221,223,217.320007,219.100006,236.910004,224.589996,227.059998,229.699997,226.350006,12888300,11268700,7105300,9147300,5399300,233.380005,234.770004,226.550003,227.479996,10549400
